Created with UCDetector 2.0.0	2025-07-17 13:00:59	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
argo.format.CompactJsonFormatter.format(CompactJsonFormatter.java:25)	Change visibility of Method "CompactJsonFormatter.format(JsonRootNode,Writer)" to private	CompactJsonFormatter.format(JsonRootNode,Writer)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonObjectNodeBuilder_List.nodeBuilder(JsonObjectNodeBuilder_List.java:11)	Change visibility of Field "JsonObjectNodeBuilder_List.nodeBuilder" to private	JsonObjectNodeBuilder_List.nodeBuilder	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeDoesNotMatchChainedJsonNodeSelectorException.<init>(JsonNodeDoesNotMatchChainedJsonNodeSelectorException.java:6)	Change visibility of Class "JsonNodeDoesNotMatchChainedJsonNodeSelectorException" to default - May cause compile errors!	JsonNodeDoesNotMatchChainedJsonNodeSelectorException	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeSelectors_Object.func_27070_a(JsonNodeSelectors_Object.java:6)	Change visibility of Method "JsonNodeSelectors_Object.func_27070_a(JsonNode)" to private	JsonNodeSelectors_Object.func_27070_a(JsonNode)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors_Object.func_27071_b(JsonNodeSelectors_Object.java:14)	Change visibility of Method "JsonNodeSelectors_Object.func_27071_b(JsonNode)" to private	JsonNodeSelectors_Object.func_27071_b(JsonNode)	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonListenerToJdomAdapter_Array.nodeBuilder(JsonListenerToJdomAdapter_Array.java:4)	Change visibility of Field "JsonListenerToJdomAdapter_Array.nodeBuilder" to private	JsonListenerToJdomAdapter_Array.nodeBuilder	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonListenerToJdomAdapter_Array.listenerToJdomAdapter(JsonListenerToJdomAdapter_Array.java:5)	Change visibility of Field "JsonListenerToJdomAdapter_Array.listenerToJdomAdapter" to private	JsonListenerToJdomAdapter_Array.listenerToJdomAdapter	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonListenerToJdomAdapter_Array.listenerToJdomAdapter(JsonListenerToJdomAdapter_Array.java:5)	Field "JsonListenerToJdomAdapter_Array.listenerToJdomAdapter" is never read	JsonListenerToJdomAdapter_Array.listenerToJdomAdapter	org.ucdetector.analyzeMarkerReference	
argo.jdom.JsonNodeFactories.<init>(JsonNodeFactories.java:6)	Change visibility of Class "JsonNodeFactories" to default - May cause compile errors!	JsonNodeFactories	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeFactories.aJsonNull(JsonNodeFactories.java:7)	Change visibility of Method "JsonNodeFactories.aJsonNull()" to default	JsonNodeFactories.aJsonNull()	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeFactories.aJsonTrue(JsonNodeFactories.java:11)	Change visibility of Method "JsonNodeFactories.aJsonTrue()" to default	JsonNodeFactories.aJsonTrue()	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeFactories.aJsonFalse(JsonNodeFactories.java:15)	Change visibility of Method "JsonNodeFactories.aJsonFalse()" to default	JsonNodeFactories.aJsonFalse()	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeFactories.aJsonString(JsonNodeFactories.java:19)	Change visibility of Method "JsonNodeFactories.aJsonString(String)" to default	JsonNodeFactories.aJsonString(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeFactories.aJsonNumber(JsonNodeFactories.java:23)	Change visibility of Method "JsonNodeFactories.aJsonNumber(String)" to default	JsonNodeFactories.aJsonNumber(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeFactories.aJsonArray(JsonNodeFactories.java:27)	Change visibility of Method "JsonNodeFactories.aJsonArray(Iterable<JsonNode>)" to default	JsonNodeFactories.aJsonArray(Iterable<JsonNode>)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeFactories.aJsonArray(JsonNodeFactories.java:31)	Change visibility of Method "JsonNodeFactories.aJsonArray(JsonNode[])" to default	JsonNodeFactories.aJsonArray(JsonNode[])	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeFactories.aJsonObject(JsonNodeFactories.java:35)	Change visibility of Method "JsonNodeFactories.aJsonObject(Map<JsonStringNode,JsonNode>)" to default	JsonNodeFactories.aJsonObject(Map<JsonStringNode,JsonNode>)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonObjectNodeBuilder.<init>(JsonObjectNodeBuilder.java:6)	Change visibility of Class "JsonObjectNodeBuilder" to default - May cause compile errors!	JsonObjectNodeBuilder	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonObjectNodeBuilder.withFieldBuilder(JsonObjectNodeBuilder.java:9)	Change visibility of Method "JsonObjectNodeBuilder.withFieldBuilder(JsonFieldBuilder)" to default	JsonObjectNodeBuilder.withFieldBuilder(JsonFieldBuilder)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonObjectNodeBuilder.func_27235_a(JsonObjectNodeBuilder.java:14)	Change visibility of Method "JsonObjectNodeBuilder.func_27235_a()" to private	JsonObjectNodeBuilder.func_27235_a()	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonArray_NodeList.field_27405_a(JsonArray_NodeList.java:11)	Change visibility of Field "JsonArray_NodeList.field_27405_a" to private	JsonArray_NodeList.field_27405_a	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNode.getStringValue(JsonNode.java:15)	Method "JsonNode.getStringValue(Object[])" has 0 references	JsonNode.getStringValue(Object[])	org.ucdetector.analyzeMarkerReference	
argo.jdom.JsonNode.getArrayNode(JsonNode.java:20)	Method "JsonNode.getArrayNode(Object[])" has 0 references	JsonNode.getArrayNode(Object[])	org.ucdetector.analyzeMarkerReference	
argo.jdom.JsonNodeDoesNotMatchJsonNodeSelectorException.<init>(JsonNodeDoesNotMatchJsonNodeSelectorException.java:3)	Change visibility of Class "JsonNodeDoesNotMatchJsonNodeSelectorException" to default - May cause compile errors!	JsonNodeDoesNotMatchJsonNodeSelectorException	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeDoesNotMatchPathElementsException.<init>(JsonNodeDoesNotMatchPathElementsException.java:6)	Change visibility of Class "JsonNodeDoesNotMatchPathElementsException" to default - May cause compile errors!	JsonNodeDoesNotMatchPathElementsException	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonListenerToJdomAdapter_Field.fieldBuilder(JsonListenerToJdomAdapter_Field.java:4)	Change visibility of Field "JsonListenerToJdomAdapter_Field.fieldBuilder" to private	JsonListenerToJdomAdapter_Field.fieldBuilder	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonListenerToJdomAdapter_Field.listenerToJdomAdapter(JsonListenerToJdomAdapter_Field.java:5)	Change visibility of Field "JsonListenerToJdomAdapter_Field.listenerToJdomAdapter" to private	JsonListenerToJdomAdapter_Field.listenerToJdomAdapter	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonListenerToJdomAdapter_Field.listenerToJdomAdapter(JsonListenerToJdomAdapter_Field.java:5)	Field "JsonListenerToJdomAdapter_Field.listenerToJdomAdapter" is never read	JsonListenerToJdomAdapter_Field.listenerToJdomAdapter	org.ucdetector.analyzeMarkerReference	
argo.jdom.JsonArrayNodeBuilder.<init>(JsonArrayNodeBuilder.java:7)	Change visibility of Class "JsonArrayNodeBuilder" to default - May cause compile errors!	JsonArrayNodeBuilder	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonArrayNodeBuilder.withElement(JsonArrayNodeBuilder.java:10)	Change visibility of Method "JsonArrayNodeBuilder.withElement(JsonNodeBuilder)" to default	JsonArrayNodeBuilder.withElement(JsonNodeBuilder)	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonArrayNodeBuilder.build(JsonArrayNodeBuilder.java:15)	Change visibility of Method "JsonArrayNodeBuilder.build()" to private	JsonArrayNodeBuilder.build()	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeBuilder.<init>(JsonNodeBuilder.java:3)	Change visibility of Interface "JsonNodeBuilder" to default - May cause compile errors!	JsonNodeBuilder	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JdomParser.<init>(JdomParser.java:9)	Class "JdomParser" has 0 references	JdomParser	org.ucdetector.analyzeMarkerReference	
argo.jdom.JsonStringNodeBuilder.<init>(JsonStringNodeBuilder.java:3)	Change visibility of Class "JsonStringNodeBuilder" to default - May cause compile errors!	JsonStringNodeBuilder	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonStringNodeBuilder.func_27243_a(JsonStringNodeBuilder.java:10)	Change visibility of Method "JsonStringNodeBuilder.func_27243_a()" to private	JsonStringNodeBuilder.func_27243_a()	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors.<init>(JsonNodeSelectors.java:5)	Change visibility of Class "JsonNodeSelectors" to default - May cause compile errors!	JsonNodeSelectors	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeSelectors.func_27349_a(JsonNodeSelectors.java:6)	Change visibility of Method "JsonNodeSelectors.func_27349_a(Object[])" to default	JsonNodeSelectors.func_27349_a(Object[])	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeSelectors.func_27346_b(JsonNodeSelectors.java:10)	Change visibility of Method "JsonNodeSelectors.func_27346_b(Object[])" to default	JsonNodeSelectors.func_27346_b(Object[])	org.ucdetector.analyzeMarkerVisibilityDefault	
argo.jdom.JsonNodeSelectors.func_27353_c(JsonNodeSelectors.java:14)	Change visibility of Method "JsonNodeSelectors.func_27353_c(Object[])" to private	JsonNodeSelectors.func_27353_c(Object[])	org.ucdetector.analyzeMarkerVisibilityPrivate	
argo.jdom.JsonNodeSelectors.func_27348_a(JsonNodeSelectors.java:18)	Change visibility of Method "JsonNodeSelectors.func_27348_a(String)" to private	JsonNodeSelectors.func_27348_a(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
